GEONAME,LNTITLE,GEOID,CVAP_EST
"Chilton County, Alabama",Native Hawaiian or Other Pacific Islander Alone,05000US01021,0
"Chilton County, Alabama",White Alone,05000US01021,27475
"Chilton County, Alabama",American Indian or Alaska Native and White,05000US01021,140
"Chilton County, Alabama",Asian and White,05000US01021,10
"Chilton County, Alabama",Black or African American and White,05000US01021,35
"Chilton County, Alabama",American Indian or Alaska Native and Black or African American,05000US01021,4
"Chilton County, Alabama",Remainder of Two or More Race Responses,05000US01021,0
"Chilton County, Alabama",Hispanic or Latino,05000US01021,490
"Choctaw County, Alabama",Total,05000US01023,10515
"Choctaw County, Alabama",Not Hispanic or Latino,05000US01023,10475
"Choctaw County, Alabama",American Indian or Alaska Native Alone,05000US01023,4
"Choctaw County, Alabama",Asian Alone,05000US01023,4
"Choctaw County, Alabama",Black or African American Alone,05000US01023,4400
"Choctaw County, Alabama",Native Hawaiian or Other Pacific Islander Alone,05000US01023,0
"Choctaw County, Alabama",White Alone,05000US01023,5975
"Choctaw County, Alabama",American Indian or Alaska Native and White,05000US01023,35
"Choctaw County, Alabama",Asian and White,05000US01023,0
"Choctaw County, Alabama",Black or African American and White,05000US01023,4
"Choctaw County, Alabama",American Indian or Alaska Native and Black or African American,05000US01023,20
"Choctaw County, Alabama",Remainder of Two or More Race Responses,05000US01023,30
"Choctaw County, Alabama",Hispanic or Latino,05000US01023,40
"Clarke County, Alabama",Total,05000US01025,19195
"Clarke County, Alabama",Not Hispanic or Latino,05000US01025,19185
"Clarke County, Alabama",American Indian or Alaska Native Alone,05000US01025,10
"Clarke County, Alabama",Asian Alone,05000US01025,105
"Clarke County, Alabama",Black or African American Alone,05000US01025,8405
"Clarke County, Alabama",Native Hawaiian or Other Pacific Islander Alone,05000US01025,15
"Clarke County, Alabama",White Alone,05000US01025,10580
"Clarke County, Alabama",American Indian or Alaska Native and White,05000US01025,0
"Clarke County, Alabama",Asian and White,05000US01025,0
"Clarke County, Alabama",Black or African American and White,05000US01025,40
"Clarke County, Alabama",American Indian or Alaska Native and Black or African American,05000US01025,40
"Clarke County, Alabama",Remainder of Two or More Race Responses,05000US01025,0
"Clarke County, Alabama",Hispanic or Latino,05000US01025,10
"Clay County, Alabama",Total,05000US01027,10360
"Clay County, Alabama",Not Hispanic or Latino,05000US01027,10275
"Clay County, Alabama",American Indian or Alaska Native Alone,05000US01027,65
"Clay County, Alabama",Asian Alone,05000US01027,0
"Clay County, Alabama",Black or African American Alone,05000US01027,1500
"Clay County, Alabama",Native Hawaiian or Other Pacific Islander Alone,05000US01027,0
"Clay County, Alabama",White Alone,05000US01027,8660
"Clay County, Alabama",American Indian or Alaska Native and White,05000US01027,25
"Clay County, Alabama",Asian and White,05000US01027,0
"Clay County, Alabama",Black or African American and White,05000US01027,30
"Clay County, Alabama",American Indian or Alaska Native and Black or African American,05000US01027,0
"Clay County, Alabama",Remainder of Two or More Race Responses,05000US01027,0
"Clay County, Alabama",Hispanic or Latino,05000US01027,85
"Cleburne County, Alabama",Total,05000US01029,11295
"Cleburne County, Alabama",Not Hispanic or Latino,05000US01029,11240
"Cleburne County, Alabama",American Indian or Alaska Native Alone,05000US01029,20
"Cleburne County, Alabama",Asian Alone,05000US01029,15
"Cleburne County, Alabama",Black or African American Alone,05000US01029,310
"Cleburne County, Alabama",Native Hawaiian or Other Pacific Islander Alone,05000US01029,0
"Cleburne County, Alabama",White Alone,05000US01029,10815
"Cleburne County, Alabama",American Indian or Alaska Native and White,05000US01029,35
"Cleburne County, Alabama",Asian and White,05000US01029,4
"Cleburne County, Alabama",Black or African American and White,05000US01029,0
"Cleburne County, Alabama",American Indian or Alaska Native and Black or African American,05000US01029,40
"Cleburne County, Alabama",Remainder of Two or More Race Responses,05000US01029,0
"Cleburne County, Alabama",Hispanic or Latino,05000US01029,55
"Coffee County, Alabama",Total,05000US01031,37955
"Coffee County, Alabama",Not Hispanic or Latino,05000US01031,36375
"Coffee County, Alabama",American Indian or Alaska Native Alone,05000US01031,295
"Coffee County, Alabama",Asian Alone,05000US01031,350
"Coffee County, Alabama",Black or African American Alone,05000US01031,6540
"Coffee County, Alabama",Native Hawaiian or Other Pacific Islander Alone,05000US01031,0
"Coffee County, Alabama",White Alone,05000US01031,28320
"Coffee County, Alabama",American Indian or Alaska Native and White,05000US01031,455
"Coffee County, Alabama",Asian and White,05000US01031,220
"Coffee County, Alabama",Black or African American and White,05000US01031,25
"Coffee County, Alabama",American Indian or Alaska Native and Black or African American,05000US01031,80
"Coffee County, Alabama",Remainder of Two or More Race Responses,05000US01031,95
"Coffee County, Alabama",Hispanic or Latino,05000US01031,1580
"Colbert County, Alabama",Total,05000US01033,42235
"Colbert County, Alabama",Not Hispanic or Latino,05000US01033,41725
"Colbert County, Alabama",American Indian or Alaska Native Alone,05000US01033,280
"Colbert County, Alabama",Asian Alone,05000US01033,155
"Colbert County, Alabama",Black or African American Alone,05000US01033,6690
"Colbert County, Alabama",Native Hawaiian or Other Pacific Islander Alone,05000US01033,30
"Colbert County, Alabama",White Alone,05000US01033,34185
"Colbert County, Alabama",American Indian or Alaska Native and White,05000US01033,215
"Colbert County, Alabama",Asian and White,05000US01033,10
"Colbert County, Alabama",Black or African American and White,05000US01033,80
"Colbert County, Alabama",American Indian or Alaska Native and Black or African American,05000US01033,20
"Colbert County, Alabama",Remainder of Two or More Race Responses,05000US01033,65
"Colbert County, Alabama",Hispanic or Latino,05000US01033,510
"Conecuh County, Alabama",Total,05000US01035,9825
"Conecuh County, Alabama",Not Hispanic or Latino,05000US01035,9755
"Conecuh County, Alabama",American Indian or Alaska Native Alone,05000US01035,20
"Conecuh County, Alabama",Asian Alone,05000US01035,15
"Conecuh County, Alabama",Black or African American Alone,05000US01035,4315
"Conecuh County, Alabama",Native Hawaiian or Other Pacific Islander Alone,05000US01035,0
"Conecuh County, Alabama",White Alone,05000US01035,5320
"Conecuh County, Alabama",American Indian or Alaska Native and White,05000US01035,20
"Conecuh County, Alabama",Asian and White,05000US01035,0
"Conecuh County, Alabama",Black or African American and White,05000US01035,10
"Conecuh County, Alabama",American Indian or Alaska Native and Black or African American,05000US01035,25
"Conecuh County, Alabama",Remainder of Two or More Race Responses,05000US01035,35
"Conecuh County, Alabama",Hispanic or Latino,05000US01035,65
"Coosa County, Alabama",Total,05000US01037,8755
"Coosa County, Alabama",Not Hispanic or Latino,05000US01037,8720
"Coosa County, Alabama",American Indian or Alaska Native Alone,05000US01037,10
"Coosa County, Alabama",Asian Alone,05000US01037,0
"Coosa County, Alabama",Black or African American Alone,05000US01037,2830
"Coosa County, Alabama",Native Hawaiian or Other Pacific Islander Alone,05000US01037,0
"Coosa County, Alabama",White Alone,05000US01037,5875
"Coosa County, Alabama",American Indian or Alaska Native and White,05000US01037,10
"Coosa County, Alabama",Asian and White,05000US01037,0
"Coosa County, Alabama",Black or African American and White,05000US01037,0
"Coosa County, Alabama",American Indian or Alaska Native and Black or African American,05000US01037,0
"Coosa County, Alabama",Remainder of Two or More Race Responses,05000US01037,0
"Coosa County, Alabama",Hispanic or Latino,05000US01037,35
"Covington County, Alabama",Total,05000US01039,29295
"Covington County, Alabama",Not Hispanic or Latino,05000US01039,28925
"Covington County, Alabama",American Indian or Alaska Native Alone,05000US01039,130
"Covington County, Alabama",Asian Alone,05000US01039,80
"Covington County, Alabama",Black or African American Alone,05000US01039,3485
"Covington County, Alabama",Native Hawaiian or Other Pacific Islander Alone,05000US01039,15
"Covington County, Alabama",White Alone,05000US01039,24950
"Covington County, Alabama",American Indian or Alaska Native and White,05000US01039,235
"Covington County, Alabama",Asian and White,05000US01039,25
"Covington County, Alabama",Black or African American and White,05000US01039,0
"Covington County, Alabama",American Indian or Alaska Native and Black or African American,05000US01039,0
"Covington County, Alabama",Remainder of Two or More Race Responses,05000US01039,0
"Covington County, Alabama",Hispanic or Latino,05000US01039,375
"Crenshaw County, Alabama",Total,05000US01041,10535
"Crenshaw County, Alabama",Not Hispanic or Latino,05000US01041,10460
"Crenshaw County, Alabama",American Indian or Alaska Native Alone,05000US01041,90
"Crenshaw County, Alabama",Asian Alone,05000US01041,75
"Crenshaw County, Alabama",Black or African American Alone,05000US01041,2535
"Crenshaw County, Alabama",Native Hawaiian or Other Pacific Islander Alone,05000US01041,0
"Crenshaw County, Alabama",White Alone,05000US01041,7730
"Crenshaw County, Alabama",American Indian or Alaska Native and White,05000US01041,10
"Crenshaw County, Alabama",Asian and White,05000US01041,0
"Crenshaw County, Alabama",Black or African American and White,05000US01041,0
"Crenshaw County, Alabama",American Indian or Alaska Native and Black or African American,05000US01041,15
"Crenshaw County, Alabama",Remainder of Two or More Race Responses,05000US01041,4
"Crenshaw County, Alabama",Hispanic or Latino,05000US01041,75
"Cullman County, Alabama",Total,05000US01043,61625
"Cullman County, Alabama",Not Hispanic or Latino,05000US01043,60725
"Cullman County, Alabama",American Indian or Alaska Native Alone,05000US01043,310
"Cullman County, Alabama",Asian Alone,05000US01043,205
"Cullman County, Alabama",Black or African American Alone,05000US01043,690
"Cullman County, Alabama",Native Hawaiian or Other Pacific Islander Alone,05000US01043,15
"Cullman County, Alabama",White Alone,05000US01043,58885
"Cullman County, Alabama",American Indian or Alaska Native and White,05000US01043,535
"Cullman County, Alabama",Asian and White,05000US01043,0
"Cullman County, Alabama",Black or African American and White,05000US01043,70
"Cullman County, Alabama",American Indian or Alaska Native and Black or African American,05000US01043,0
"Cullman County, Alabama",Remainder of Two or More Race Responses,05000US01043,10
"Cullman County, Alabama",Hispanic or Latino,05000US01043,900
"Dale County, Alabama",Total,05000US01045,37405
"Dale County, Alabama",Not Hispanic or Latino,05000US01045,35705
"Dale County, Alabama",American Indian or Alaska Native Alone,05000US01045,200
"Dale County, Alabama",Asian Alone,05000US01045,415
"Dale County, Alabama",Black or African American Alone,05000US01045,6990
"Dale County, Alabama",Native Hawaiian or Other Pacific Islander Alone,05000US01045,0
"Dale County, Alabama",White Alone,05000US01045,27400
"Dale County, Alabama",American Indian or Alaska Native and White,05000US01045,320
"Dale County, Alabama",Asian and White,05000US01045,75
"Dale County, Alabama",Black or African American and White,05000US01045,90
"Dale County, Alabama",American Indian or Alaska Native and Black or African American,05000US01045,110
"Dale County, Alabama",Remainder of Two or More Race Responses,05000US01045,110
"Dale County, Alabama",Hispanic or Latino,05000US01045,1700
"Dallas County, Alabama",Total,05000US01047,30615
"Dallas County, Alabama",Not Hispanic or Latino,05000US01047,30465
"Dallas County, Alabama",American Indian or Alaska Native Alone,05000US01047,30
"Dallas County, Alabama",Asian Alone,05000US01047,45
"Dallas County, Alabama",Black or African American Alone,05000US01047,20515
"Dallas County, Alabama",Native Hawaiian or Other Pacific Islander Alone,05000US01047,25
"Dallas County, Alabama",White Alone,05000US01047,9605
"Dallas County, Alabama",American Indian or Alaska Native and White,05000US01047,60
"Dallas County, Alabama",Asian and White,05000US01047,10
"Dallas County, Alabama",Black or African American and White,05000US01047,4
"Dallas County, Alabama",American Indian or Alaska Native and Black or African American,05000US01047,95
"Dallas County, Alabama",Remainder of Two or More Race Responses,05000US01047,80
"Dallas County, Alabama",Hispanic or Latino,05000US01047,145
"DeKalb County, Alabama",Total,05000US01049,49580
"DeKalb County, Alabama",Not Hispanic or Latino,05000US01049,47780
"DeKalb County, Alabama",American Indian or Alaska Native Alone,05000US01049,725
"DeKalb County, Alabama",Asian Alone,05000US01049,120
"DeKalb County, Alabama",Black or African American Alone,05000US01049,775
"DeKalb County, Alabama",Native Hawaiian or Other Pacific Islander Alone,05000US01049,45
"DeKalb County, Alabama",White Alone,05000US01049,45305
"DeKalb County, Alabama",American Indian or Alaska Native and White,05000US01049,670
"DeKalb County, Alabama",Asian and White,05000US01049,30
"DeKalb County, Alabama",Black or African American and White,05000US01049,70
"DeKalb County, Alabama",American Indian or Alaska Native and Black or African American,05000US01049,10
"DeKalb County, Alabama",Remainder of Two or More Race Responses,05000US01049,30
"DeKalb County, Alabama",Hispanic or Latino,05000US01049,1800
"Elmore County, Alabama",Total,05000US01051,61485
"Elmore County, Alabama",Not Hispanic or Latino,05000US01051,60575
"Elmore County, Alabama",American Indian or Alaska Native Alone,05000US01051,150
"Elmore County, Alabama",Asian Alone,05000US01051,130
"Elmore County, Alabama",Black or African American Alone,05000US01051,12880
"Elmore County, Alabama",Native Hawaiian or Other Pacific Islander Alone,05000US01051,0
"Elmore County, Alabama",White Alone,05000US01051,46760
"Elmore County, Alabama",American Indian or Alaska Native and White,05000US01051,365
"Elmore County, Alabama",Asian and White,05000US01051,170
"Elmore County, Alabama",Black or African American and White,05000US01051,40
"Elmore County, Alabama",American Indian or Alaska Native and Black or African American,05000US01051,10
"Elmore County, Alabama",Remainder of Two or More Race Responses,05000US01051,65
"Elmore County, Alabama",Hispanic or Latino,05000US01051,910
"Escambia County, Alabama",Total,05000US01053,29330
"Escambia County, Alabama",Not Hispanic or Latino,05000US01053,28920
"Escambia County, Alabama",American Indian or Alaska Native Alone,05000US01053,940
"Escambia County, Alabama",Asian Alone,05000US01053,40
"Escambia County, Alabama",Black or African American Alone,05000US01053,9235
"Escambia County, Alabama",Native Hawaiian or Other Pacific Islander Alone,05000US01053,65
"Escambia County, Alabama",White Alone,05000US01053,18330
"Escambia County, Alabama",American Indian or Alaska Native and White,05000US01053,200
"Escambia County, Alabama",Asian and White,05000US01053,15
"Escambia County, Alabama",Black or African American and White,05000US01053,50
"Escambia County, Alabama",American Indian or Alaska Native and Black or African American,05000US01053,4
"Escambia County, Alabama",Remainder of Two or More Race Responses,05000US01053,45
"Escambia County, Alabama",Hispanic or Latino,05000US01053,415
"Etowah County, Alabama",Total,05000US01055,78780
"Etowah County, Alabama",Not Hispanic or Latino,05000US01055,78070
"Etowah County, Alabama",American Indian or Alaska Native Alone,05000US01055,345
"Etowah County, Alabama",Asian Alone,05000US01055,445
"Etowah County, Alabama",Black or African American Alone,05000US01055,11675
"Etowah County, Alabama",Native Hawaiian or Other Pacific Islander Alone,05000US01055,30
"Etowah County, Alabama",White Alone,05000US01055,64645
"Etowah County, Alabama",American Indian or Alaska Native and White,05000US01055,540
"Etowah County, Alabama",Asian and White,05000US01055,70
"Etowah County, Alabama",Black or African American and White,05000US01055,210
"Etowah County, Alabama",American Indian or Alaska Native and Black or African American,05000US01055,40
"Etowah County, Alabama",Remainder of Two or More Race Responses,05000US01055,70
"Etowah County, Alabama",Hispanic or Latino,05000US01055,710
"Fayette County, Alabama",Total,05000US01057,13155
"Fayette County, Alabama",Not Hispanic or Latino,05000US01057,13080
"Fayette County, Alabama",American Indian or Alaska Native Alone,05000US01057,0
"Fayette County, Alabama",Asian Alone,05000US01057,20
"Fayette County, Alabama",Black or African American Alone,05000US01057,1615
"Fayette County, Alabama",Native Hawaiian or Other Pacific Islander Alone,05000US01057,0
"Fayette County, Alabama",White Alone,05000US01057,11315
"Fayette County, Alabama",American Indian or Alaska Native and White,05000US01057,80
"Fayette County, Alabama",Asian and White,05000US01057,0
"Fayette County, Alabama",Black or African American and White,05000US01057,35
"Fayette County, Alabama",American Indian or Alaska Native and Black or African American,05000US01057,0
"Fayette County, Alabama",Remainder of Two or More Race Responses,05000US01057,20
"Fayette County, Alabama",Hispanic or Latino,05000US01057,70
"Franklin County, Alabama",Total,05000US01059,21935
"Franklin County, Alabama",Not Hispanic or Latino,05000US01059,20770
"Franklin County, Alabama",American Indian or Alaska Native Alone,05000US01059,235
"Franklin County, Alabama",Asian Alone,05000US01059,10
"Franklin County, Alabama",Black or African American Alone,05000US01059,985
"Franklin County, Alabama",Native Hawaiian or Other Pacific Islander Alone,05000US01059,20
"Franklin County, Alabama",White Alone,05000US01059,19410
"Franklin County, Alabama",American Indian or Alaska Native and White,05000US01059,85
"Franklin County, Alabama",Asian and White,05000US01059,0
"Franklin County, Alabama",Black or African American and White,05000US01059,0
"Franklin County, Alabama",American Indian or Alaska Native and Black or African American,05000US01059,4
"Franklin County, Alabama",Remainder of Two or More Race Responses,05000US01059,25
"Franklin County, Alabama",Hispanic or Latino,05000US01059,1165
"Geneva County, Alabama",Total,05000US01061,20515
"Geneva County, Alabama",Not Hispanic or Latino,05000US01061,20150
"Geneva County, Alabama",American Indian or Alaska Native Alone,05000US01061,120
"Geneva County, Alabama",Asian Alone,05000US01061,4
"Geneva County, Alabama",Black or African American Alone,05000US01061,1925
"Geneva County, Alabama",Native Hawaiian or Other Pacific Islander Alone,05000US01061,0
"Geneva County, Alabama",White Alone,05000US01061,17825
"Geneva County, Alabama",American Indian or Alaska Native and White,05000US01061,185
"Geneva County, Alabama",Asian and White,05000US01061,10
"Geneva County, Alabama",Black or African American and White,05000US01061,75
"Geneva County, Alabama",American Indian or Alaska Native and Black or African American,05000US01061,0
"Geneva County, Alabama",Remainder of Two or More Race Responses,05000US01061,4
"Geneva County, Alabama",Hispanic or Latino,05000US01061,365
"Greene County, Alabama",Total,05000US01063,6595
"Greene County, Alabama",Not Hispanic or Latino,05000US01063,6590
"Greene County, Alabama",American Indian or Alaska Native Alone,05000US01063,25
"Greene County, Alabama",Asian Alone,05000US01063,15
"Greene County, Alabama",Black or African American Alone,05000US01063,5235
"Greene County, Alabama",Native Hawaiian or Other Pacific Islander Alone,05000US01063,0
"Greene County, Alabama",White Alone,05000US01063,1285
"Greene County, Alabama",American Indian or Alaska Native and White,05000US01063,0
"Greene County, Alabama",Asian and White,05000US01063,0
"Greene County, Alabama",Black or African American and White,05000US01063,0
"Greene County, Alabama",American Indian or Alaska Native and Black or African American,05000US01063,0
"Greene County, Alabama",Remainder of Two or More Race Responses,05000US01063,35
"Greene County, Alabama",Hispanic or Latino,05000US01063,4
"Hale County, Alabama",Total,05000US01065,11565
"Hale County, Alabama",Not Hispanic or Latino,05000US01065,11435
"Hale County, Alabama",American Indian or Alaska Native Alone,05000US01065,15
"Hale County, Alabama",Asian Alone,05000US01065,15
"Hale County, Alabama",Black or African American Alone,05000US01065,6575
"Hale County, Alabama",Native Hawaiian or Other Pacific Islander Alone,05000US01065,10
"Hale County, Alabama",White Alone,05000US01065,4820
"Hale County, Alabama",American Indian or Alaska Native and White,05000US01065,0
"Hale County, Alabama",Asian and White,05000US01065,0
"Hale County, Alabama",Black or African American and White,05000US01065,0
"Hale County, Alabama",American Indian or Alaska Native and Black or African American,05000US01065,0
"Hale County, Alabama",Remainder of Two or More Race Responses,05000US01065,0
"Hale County, Alabama",Hispanic or Latino,05000US01065,130
"Henry County, Alabama",Total,05000US01067,13335
"Henry County, Alabama",Not Hispanic or Latino,05000US01067,13190
"Henry County, Alabama",American Indian or Alaska Native Alone,05000US01067,0
"Henry County, Alabama",Asian Alone,05000US01067,0
"Henry County, Alabama",Black or African American Alone,05000US01067,3715
"Henry County, Alabama",Native Hawaiian or Other Pacific Islander Alone,05000US01067,0
"Henry County, Alabama",White Alone,05000US01067,9395
"Henry County, Alabama",American Indian or Alaska Native and White,05000US01067,70
"Henry County, Alabama",Asian and White,05000US01067,0
"Henry County, Alabama",Black or African American and White,05000US01067,0
"Henry County, Alabama",American Indian or Alaska Native and Black or African American,05000US01067,0
"Henry County, Alabama",Remainder of Two or More Race Responses,05000US01067,10
"Henry County, Alabama",Hispanic or Latino,05000US01067,145
"Houston County, Alabama",Total,05000US01069,78085
"Houston County, Alabama",Not Hispanic or Latino,05000US01069,76690
